time,current,voltage,power,pressure_anode_inlet,pressure_anode_outlet,pressure_cathode_inlet,pressure_cathode_outlet,temp_anode_endplate,temp_anode_dewpoint_water,temp_anode_inlet,temp_anode_outlet,temp_cathode_dewpoint_water,temp_cathode_inlet,temp_cathode_outlet,total_anode_stack_flow,total_cathode_stack_flow
104,1.7604,0.8545,1.5,109.901303,110.832759,109.597778,108.893387,83.728775,53.546268,67.555038,37.121727,63.240631,68.663963,57.797474,0.084,0.349
105,1.7628,0.8535,1.5,110.204828,110.832759,109.597778,108.893387,83.704086,53.546268,67.580292,37.121727,63.20187,68.67659,57.771633,0.084,0.349
106,1.7604,0.8525,1.5,110.508353,110.832759,109.800128,108.994659,83.691742,53.58503,67.542419,37.108501,63.227711,68.663963,57.797474,0.084,0.349
107,1.7628,0.8529,1.5,109.901303,110.731657,110.002478,108.994659,83.630013,53.533352,67.529793,37.055592,63.21479,68.701843,57.758713,0.084,0.349
108,1.7628,0.8535,1.5,109.901303,110.731657,110.002478,108.893387,83.642357,53.520432,67.529793,37.108501,63.21479,68.689217,57.719955,0.084,0.349
109,1.7628,0.8535,1.5,109.901303,110.731657,109.698953,108.387024,83.543594,53.494591,67.605545,37.082047,63.176033,68.663963,57.668278,0.084,0.349
110,1.7604,0.8525,1.5,110.103653,110.428352,109.597778,108.792114,83.580635,53.559189,67.592918,37.082047,63.227711,68.727097,57.707035,0.084,0.349
111,1.7604,0.8512,1.5,109.901303,110.428352,109.800128,109.197205,83.642357,53.559189,67.580292,37.068817,63.21479,68.752342,57.681198,0.084,0.349
112,1.7604,0.8516,1.5,109.901303,110.529453,110.002478,109.298477,83.592979,53.58503,67.555038,37.055592,63.21479,68.739716,57.668278,0.084,0.349
113,1.7604,0.8529,1.5,109.901303,110.529453,109.698953,108.589569,83.630013,53.546268,67.479286,37.042366,63.240631,68.689217,57.655357,0.084,0.349
114,1.7604,0.8516,1.5,109.901303,110.832759,109.698953,108.792114,83.496704,53.539257,67.477135,37.085838,63.20187,68.744415,57.600372,0.084,0.349
115,1.7604,0.8519,1.5,110.103653,110.428352,109.395428,108.589569,83.642357,53.520432,67.504539,37.055592,63.21479,68.752342,57.655357,0.084,0.349
116,1.7604,0.8506,1.5,109.901303,110.832759,109.800128,109.39975,83.592979,53.58503,67.504539,37.042366,63.163113,68.777596,57.655357,0.084,0.349
117,1.758,0.8512,1.5,109.901303,110.529453,110.002478,109.298477,83.583122,53.590939,67.477135,37.006474,63.253551,68.769669,57.561615,0.084,0.349
118,1.7628,0.8506,1.5,110.204828,110.731657,110.002478,109.298477,83.642357,53.572109,67.479286,37.068817,63.266468,68.701843,57.539082,0.084,0.349
119,1.7628,0.8512,1.5,110.103653,110.832759,110.002478,109.298477,83.642357,53.559189,67.504539,37.055592,63.240631,68.752342,57.552002,0.084,0.349
120,1.7628,0.8516,1.5,109.901303,110.832759,109.698953,108.893387,83.617668,53.58503,67.517166,37.042366,63.240631,68.727097,57.577843,0.084,0.349
121,1.7628,0.8512,1.5,109.901303,110.832759,109.597778,108.387024,83.592979,53.58503,67.529793,37.002682,63.227711,68.815475,57.552002,0.084,0.349
122,1.7628,0.8496,1.5,110.204828,110.832759,109.800128,109.298477,83.543594,53.533352,67.454033,37.015911,63.21479,68.865974,57.539082,0.084,0.349
123,1.7604,0.85,1.5,109.901303,110.832759,110.002478,109.39975,83.555946,53.610867,67.441406,37.002682,63.253551,68.815475,57.539082,0.084,0.349
124,1.7604,0.8503,1.5,110.306003,110.529453,110.002478,109.298477,83.644844,53.552177,67.388748,36.979534,63.266468,68.794922,57.419498,0.084,0.349
125,1.7604,0.8509,1.5,109.901303,110.731657,110.002478,108.893387,83.679398,53.533352,67.479286,37.029137,63.253551,68.739716,57.487404,0.084,0.349
126,1.7604,0.8509,1.5,110.204828,110.529453,109.597778,108.387024,83.617668,53.533352,67.416161,37.042366,63.21479,68.777596,57.461567,0.084,0.349
127,1.7604,0.85,1.5,110.204828,110.832759,109.597778,108.893387,83.630013,53.559189,67.517166,37.042366,63.21479,68.840729,57.461567,0.084,0.349
128,1.7604,0.8503,1.5,110.103653,110.529453,109.597778,109.197205,83.592979,53.559189,67.491913,37.029137,63.240631,68.815475,57.500324,0.084,0.349
129,1.7604,0.8487,1.49,110.204828,110.832759,109.800128,109.298477,83.630013,53.546268,67.479286,37.015911,63.279388,68.840729,57.435726,0.084,0.349
130,1.7628,0.8496,1.5,109.901303,110.529453,110.103653,109.298477,83.667053,53.546268,67.416161,37.015911,63.279388,68.802849,57.384048,0.084,0.349
131,1.7604,0.8496,1.5,109.901303,110.832759,110.103653,109.39975,83.580635,53.58503,67.42878,37.015911,63.240631,68.777596,57.358208,0.084,0.349
132,1.7604,0.8496,1.5,109.901303,110.529453,110.002478,109.39975,83.654709,53.610867,67.454033,37.029137,63.253551,68.764969,57.30653,0.084,0.349
133,1.7628,0.8496,1.5,109.901303,110.832759,110.103653,109.298477,83.617668,53.597946,67.42878,37.082047,63.279388,68.802849,57.30653,0.084,0.349
134,1.7604,0.8496,1.5,109.901303,110.529453,110.103653,109.298477,83.546082,53.590939,67.451881,37.006474,63.253551,68.794922,57.290306,0.084,0.349
135,1.7604,0.8496,1.5,110.103653,110.731657,110.002478,109.298477,83.654709,53.610867,67.416161,36.948551,63.253551,68.840729,57.241936,0.084,0.349
136,1.7604,0.85,1.5,109.901303,110.731657,110.103653,108.994659,83.592979,53.623787,67.403534,37.002682,63.227711,68.840729,57.293613,0.084,0.349
137,1.7628,0.8503,1.5,109.901303,110.832759,109.800128,108.589569,83.568291,53.597946,67.479286,36.989201,63.266468,68.878601,57.293613,0.084,0.349
138,1.7604,0.8493,1.5,110.103653,110.731657,109.597778,108.893387,83.667053,53.597946,67.441406,37.015911,63.253551,68.865974,57.30653,0.084,0.349
139,1.7628,0.849,1.5,109.901303,110.529453,109.597778,108.792114,83.546082,53.629696,67.376122,36.965984,63.253551,68.895927,57.238628,0.084,0.349
140,1.7604,0.8477,1.49,109.901303,110.832759,109.800128,109.298477,83.546082,53.590939,67.401375,36.965984,63.279388,68.895927,57.238628,0.084,0.349
141,1.7628,0.8483,1.5,110.103653,110.832759,110.103653,109.602295,83.555946,53.533352,67.416161,36.962101,63.253551,68.790222,57.229015,0.084,0.349
142,1.7628,0.849,1.5,109.901303,110.529453,110.103653,109.298477,83.617668,53.58503,67.454033,37.029137,63.240631,68.815475,57.164417,0.084,0.349
143,1.7628,0.8487,1.5,110.103653,110.428352,110.407178,109.298477,83.617668,53.610867,67.441406,36.962101,63.292309,68.815475,57.151497,0.084,0.349
144,1.7604,0.8503,1.5,110.710703,110.93386,110.508353,108.994659,83.654709,53.623787,67.479286,37.002682,63.292309,68.815475,57.138577,0.171,0.708
145,14.8187,0.7081,10.49,111.014228,111.136064,111.216578,109.298477,83.607811,53.681374,67.515007,36.925335,63.240631,68.895927,57.109432,0.206,0.861
146,14.8139,0.713,10.56,110.913053,111.338267,111.418928,109.602295,83.595467,53.603855,67.792778,36.884686,63.253551,68.996933,57.17403,0.207,0.864
147,14.8163,0.7159,10.61,110.913053,110.93386,111.722452,109.602295,83.728775,53.58503,67.908569,36.989201,63.240631,69.041794,57.229015,0.207,0.864
148,14.8163,0.7175,10.63,110.913053,110.93386,111.722452,109.602295,83.607811,53.655533,68.057922,36.952435,63.266468,69.095764,57.199867,0.207,0.864
149,14.8187,0.7185,10.65,110.609528,111.237165,111.722452,109.602295,83.694229,53.590939,68.158928,36.993084,63.305229,69.095764,57.212788,0.207,0.864
150,14.8139,0.7188,10.65,110.609528,110.93386,111.722452,109.703568,83.684181,53.538353,68.064964,36.872501,63.216808,68.997124,57.208179,0.207,0.864
151,14.8163,0.7198,10.66,110.609528,111.237165,111.722452,109.602295,83.634796,53.512516,68.153351,36.886051,63.229729,68.984505,57.208179,0.207,0.864
152,14.8139,0.7201,10.67,110.609528,110.832759,111.924802,109.602295,83.696526,53.538353,68.216476,36.899601,63.203888,69.021881,57.246937,0.207,0.864
153,14.8139,0.7204,10.67,110.609528,110.731657,111.722452,109.602295,83.696526,53.486675,68.178596,36.886051,63.229729,68.921371,57.246937,0.207,0.864
154,14.8139,0.7204,10.67,110.609528,110.832759,111.722452,109.298477,83.70887,53.538353,68.165977,36.886051,63.268486,68.921371,57.246937,0.207,0.864
155,14.8139,0.7211,10.68,110.710703,110.832759,111.722452,109.298477,83.70887,53.525436,68.216476,36.886051,63.203888,68.896118,57.259857,0.207,0.864
156,14.8139,0.7211,10.68,110.508353,110.832759,111.722452,109.298477,83.807632,53.564194,68.191223,36.872501,63.216808,68.883492,57.246937,0.207,0.864
157,14.8139,0.7217,10.69,110.204828,110.832759,111.722452,109.298477,83.758247,53.577114,68.216476,36.872501,63.242649,68.883492,57.298615,0.207,0.864
158,14.8139,0.7217,10.69,110.204828,110.832759,111.722452,109.39975,83.745903,53.577114,68.216476,36.872501,63.190968,68.896118,57.272778,0.207,0.864
159,14.8139,0.7217,10.69,110.306003,110.832759,111.722452,109.39975,83.696526,53.551273,68.191223,36.831852,63.203888,68.896118,57.285698,0.207,0.864
160,14.8139,0.722,10.7,110.204828,110.832759,111.722452,109.298477,83.733559,53.551273,68.20385,36.872501,63.242649,68.896118,57.259857,0.207,0.864
161,14.8139,0.722,10.7,110.306003,110.832759,111.722452,109.197205,83.671837,53.551273,68.254356,36.872501,63.242649,68.845619,57.324455,0.207,0.864
162,14.8115,0.7227,10.7,110.204828,110.832759,111.722452,109.197205,83.832321,53.577114,68.266983,36.886051,63.229729,68.820366,57.337376,0.207,0.864
163,14.8115,0.7224,10.7,110.306003,110.731657,111.418928,108.994659,83.832321,53.590034,68.229103,36.858952,63.242649,68.820366,57.324455,0.207,0.864
164,10.3746,0.7647,7.93,109.901303,110.832759,111.216578,108.994659,83.758247,53.602951,68.266983,36.96735,63.203888,68.858246,57.337376,0.158,0.657
165,10.3746,0.7621,7.91,109.901303,110.428352,110.811878,109.197205,83.770592,53.590034,68.140724,36.858952,63.216808,68.782486,57.324455,0.145,0.606
166,10.3746,0.7611,7.9,110.103653,110.125047,110.609528,108.893387,83.696526,53.577114,68.077591,36.858952,63.255566,68.744614,57.350296,0.145,0.605
167,10.3746,0.7602,7.89,109.800128,110.32725,110.508353,108.994659,83.733559,53.590034,67.963959,36.872501,63.216808,68.744614,57.376133,0.145,0.605
168,10.377,0.7598,7.88,109.597778,110.32725,110.407178,108.893387,83.770592,53.551273,68.014465,36.872501,63.232716,68.71936,57.363213,0.145,0.605
169,10.3746,0.7595,7.88,109.597778,110.32725,110.204828,108.792114,83.770592,53.590034,67.951332,36.804752,63.258553,68.757233,57.311535,0.145,0.605
170,10.3746,0.7592,7.88,109.800128,110.023945,110.204828,108.893387,83.585419,53.551273,67.91346,36.845402,63.242649,68.694107,57.311535,0.145,0.605
171,10.377,0.7589,7.87,109.597778,109.922843,110.204828,108.589569,83.733559,53.577114,67.989212,36.872501,63.190968,68.706734,57.324455,0.145,0.605
172,10.377,0.7589,7.87,109.395428,110.023945,110.204828,108.589569,83.770592,53.577114,67.951332,36.818302,63.229729,68.731987,57.311535,0.145,0.605
